NAME,SURNAME,MARKS,EMAIL_ID,PREF1,PREF2,PREF3 ,ALLOTMENT
aaaa,vvvv,120,aaaa21@gmail.com,0,1,2,-
aaab,vvvw,135,aaab34@gmail.com,0,2,3,-
aaac,vvvx,165,aaac78@gmail.com,3,1,2,-
aaad,vvvy,128,aaad.45@outlook.com,0,0,0,-
aaae,vvvz,151,aaae@yahoo.com,0,1,1,-
bbba,wwwv,158,bbba@gmail.com,2,2,3,-
bbbb,wwww,133,bbbb.23ww@gmail.com,1,2,3,-
bbbc,wwwx,136,bbbc.81x@yahoo.com,2,2,2,-
bbbd,wwwy,178,bbbd@gmail.com,0,1,2,-
bbbe,wwwz,179,bbbe.12@rediffmail.com,1,2,3,-
ccca,xxxv,109,ccca33.xx@yahoo.com,0,1,2,-
cccb,xxxw,127,cccb@gmail.com,0,3,3,-
cccc,xxxx,102,cccc.441zz@gmail.com,0,1,1,-
cccd,xxxy,95,cccd@outlook.com,1,3,2,-
ccce,xxxz,114,ccce@rediffmail.com,3,2,2,-
ddda,yyyv,136,ddda55@gmail.com,0,1,3,-
dddb,yyyw,159,dddb.89x@rediffmail.com,0,1,3,-
dddc,yyyx,100,dddc23@gmail.com,2,2,3,-
dddd,yyyy,192,dddd@gmail.com,0,0,1,-
ddde,yyyz,188,ddde7@yahoo.com,0,0,0,-
ananya,joshi,199,aj@gmail.com,0,0,0,-
