NAME,SURNAME,EMAIL_ID,MARKS,PREF1,PREF2,PREF3,ALLOTMENT,PSWD,GENDER
Jasmin,Chander,jasmer@gmail.com,120,0,1,2,-,p,F
Charandeep,Kumar,charanwin@gmail.com,135,0,2,3,Mechanical,p,M
Tulsi,Dua,tulsua@gmail.com,165,3,1,2,Electronics,p,F
Amrita,Kumar,aaad.45@outlook.com,128,0,0,0,-,p,F
Sonam,Raj,sonam.92@gmail.com,151,0,1,1,Computer,p,F
Govinda,Kumar,govinda.97@gmail.com,158,2,2,3,Mechanical,p,M
Mrinalini,Singh,mrinalini.21@gmail.com,133,1,2,3,Electronics,p,F
Kaushalya,Jain,kaushalya.18@gmail.com,136,2,2,2,Mechanical,p,F
Rahul,Bapat,rahul.61@gmail.com,178,0,1,2,Computer,p,M
Mrunal,Kulkarni,mrunal.95@gmail.com,179,1,2,3,IT,p,F
Rahee,Joshi,rahee.11@gmail.com,109,0,1,2,-,p,F
Krishna,Patel,krishna.75@gmail.com,127,0,3,3,Electronics,p,F
Aditya,Marathe,aditya.56@gmail.com,102,0,1,1,-,p,M
Simran,Ahuja,simran.69@gmail.com,95,1,3,2,-,p,F
Ruchita,Kulkarni,ruchita.17@gmail.com,114,3,2,2,Electronics,p,F
Aaryana,Bhatt,aaryana.77@gmail.com,136,0,1,3,Electronics,p,F
Rama,Banerjee,rama.74@gmail.com,159,0,1,3,Computer,p,F
Sahil,Kulkarni,sahil.97@gmail.com,100,2,2,3,-,p,M
Sohail,Divekar,sohail.88@gmail.com,192,0,2,1,Computer,p,M
Meghana,Kakade,meghana.37@gmail.com,188,0,0,0,Computer,p,F
Urmila,Waykar,urmila.98@gmail.com,134,0,2,1,-,p,F
Shashank,Basu,shashank.24@gmail.com,124,1,3,2,Electronics,p,M
Nisha,Varma,nisha.42@gmail.com,145,1,2,3,IT,p,F
Karan,Khan,karan.14@gmail.com,120,2,1,3,Electronics,p,M
Prachi,Agarwal,prachi.43@gmail.com,154,1,0,1,IT,p,F
Ankita,Joshi,ankita.50@gmail.com,153,3,1,0,Electronics,p,F
Manish,Reddy,manish.80@gmail.com,123,1,2,3,Electronics,p,M
Phalguni,Chowdhury,phalguni.84@gmail.com,167,0,2,1,Computer,p,F
Rasika,Kohli,rasika.77@gmail.com,134,0,2,1,-,p,F
Himesh,Sharma,himesh.38@gmail.com,189,0,2,3,Computer,p,M
Adish,Shaikh,adish.51@gmail.com,175,2,1,3,Mechanical,p,M
Shambhavi,Gadre,shambhavi.64@gmail.com,148,3,2,1,Electronics,p,F
Tara,Verma,tara.91@gmail.com,174,1,2,3,IT,p,F
Sakshi,Naik,sakshi.83@gmail.com,147,0,2,3,Mechanical,p,F
Akshay,Nadkarni,akshay.24@gmail.com,142,0,3,1,Electronics,p,M
Esha,Sathe,esha.18@gmail.com,181,0,3,1,Computer,p,F
Maithilee,Palkar,maithilee.91@gmail.com,139,1,3,2,Electronics,p,F
Samidha,Joshi,samidha.45@gmail.com,142,0,1,3,Electronics,p,F
Samruddhi,Deode,samruddhi.68@gmail.com,198,0,1,2,Computer,hpbstd,F
Samiksha,Deode,samiksha.15@gmail.com,188,0,1,2,Computer,hpbstd,F
Swati,Joshi,swati.32@gmail.com,140,0,1,3,Electronics,hl21,F
Shreya,Sharma,shreya.91@gmail.com,180,1,1,1,IT,p,F
Manoj,Chabra,manoj.72@gmail.com,130,1,1,2,-,p,M
Kartik,Chawla,kartik.95@gmail.com,98,0,2,2,-,p,M
Manaswi,Singh,manaswi.25@gmail.com,109,1,1,3,Electronics,p,F
Ankita,Sharma,ankita.84@gmail.com,166,0,0,3,Computer,p,F
Manasi,Joshi,manasi.85@gmail.com,141,0,1,3,Electronics,p,F
Avni,Naik,avni.45@gmail.com,142,1,2,2,Mechanical,p,F
Varun,Chakravarthy,varun.50@gmail.com,156,3,1,2,Electronics,p,M
Atharva,Kulkarni,atharva.74@gmail.com,128,0,1,3,Electronics,p,M
Aditya,Apte,aditya.21@gmail.com,157,0,2,1,Computer,p,M
Atharva,Deshpande,atharva.60@gmail.com,144,0,0,0,-,p,M
Kaustubh,Iyer,kaustubh.64@gmail.com,160,0,0,0,Computer,p,M
Ishita,Sharma,ishita.61@gmail.com,112,1,1,1,-,p,F
Nehal,Kapadia,nehal.61@gmail.com,106,0,0,3,-,p,F
Omkar,Jagtap,omkar.32@gmail.com,100,1,3,3,-,p,M
Savnee,Kulkarni,savnee.85@gmail.com,120,2,1,0,-,p,F
Ananya,Sharma,ananya.81@gmail.com,135,2,3,3,Electronics,p,F
Sakhi,Datar,sakhi.83@gmail.com,165,0,2,3,Computer,p,F
Radhika,Paraswar,radhika.86@gmail.com,128,0,2,1,-,p,F
Adesh,Deshmukh,adesh.80@gmail.com,151,0,1,1,Computer,p,M
Sunil,Khanna,sunil.80@gmail.com,158,1,0,2,IT,p,M
Chitrali,Bapat,chitrali.13@gmail.com,133,0,1,2,-,p,F
Aryan,Kashyap,aryan.26@gmail.com,136,1,3,0,Electronics,p,M
Radha,Patel,radha.45@gmail.com,178,1,2,3,IT,p,F
Varsha,Naik,varsha.16@gmail.com,179,0,3,3,Computer,p,F
Kalyani,Jha,kalyani.15@gmail.com,109,3,1,1,Electronics,p,F
Chirag,Dhar,chirag.74@gmail.com,127,0,0,1,-,p,M
Sania,Malhotra,sania.46@gmail.com,102,2,3,1,-,p,F
Vinayak,Singh,vinayak.71@gmail.com,95,1,2,0,-,p,M
Shreya,Garg,shreya.36@gmail.com,114,3,2,1,Electronics,p,F
Kapil,Dixit,kapil.95@gmail.com,136,0,1,2,Mechanical,p,M
Pranav,Kulkarni,pranav.56@gmail.com,159,0,1,3,Computer,p,M
Ojas,Dubey,ojas.69@gmail.com,100,1,2,2,-,p,M
Karishma,Khedekar,karishma.85@gmail.com,192,0,2,0,Computer,p,F
Umesh,Shejwalkar,umesh.38@gmail.com,188,1,0,1,IT,p,M
Kiran,Jha,kiran.23@gmail.com,134,0,2,3,Electronics,p,M
Aryan,Gandhi,aryan.83@gmail.com,124,0,1,3,Electronics,p,M
Vasudha,Bapat,vasudha.29@gmail.com,145,0,2,2,Mechanical,p,F
Ashish,Chandra,ashish.60@gmail.com,120,0,1,2,-,p,M
Dimple,Patel,dimple.30@gmail.com,154,2,0,3,Mechanical,p,F
Prashant,Mahajan,prashant.77@gmail.com,153,1,1,2,IT,p,M
Sneha,Apte,sneha.15@gmail.com,123,0,2,3,Electronics,p,F
Vivek,Das,vivek.53@gmail.com,197,1,2,1,IT,p,M
Kapil,Goswami,kapil.21@gmail.com,186,0,2,2,Computer,p,M
Kaavya,Amritkar,kaavya.89@gmail.com,180,0,1,2,Computer,p,F
Anuradha,Singh,anuradha.91@gmail.com,136,0,2,3,Mechanical,p,F
Rishikesh,Kanade,rishikesh.99@gmail.com,159,2,1,3,Mechanical,p,M
Soham,Gill,soham.20@gmail.com,100,3,3,3,-,p,M
Jui,Kashyap,jui.71@gmail.com,192,1,1,1,IT,p,F
Sanah,Batra,sanah.28@gmail.com,166,0,3,0,Computer,p,F
Sanjyot,Saxena,sanjyot.71@gmail.com,189,0,2,1,Computer,p,F
Shalvi,Patel,shalvi.29@gmail.com,150,0,1,2,IT,p,F
Amar,Shah,amar.30@gmail.com,162,1,1,3,IT,p,M
Prateek,Shukla,prateek.90@gmail.com,164,0,2,3,Computer,p,M
Esha,Das,esha.83@gmail.com,154,0,2,1,Computer,p,F
Kaushal,Javadekar,kaushal.92@gmail.com,123,0,0,0,-,p,M
Anurati,Bhide,anurati.46@gmail.com,138,0,2,3,Mechanical,p,F
Raghav,Rao,raghav.72@gmail.com,149,0,3,1,Electronics,p,M
Kalpana,Apte,kalpana.98@gmail.com,131,1,2,1,-,p,F
Omkar,Thakur,omkar.98@gmail.com,122,1,1,3,Electronics,p,M
Vaibhav,Sachdev,vaibhav.95@gmail.com,108,0,0,3,Electronics,p,M
Viraj,Biswas,viraj.79@gmail.com,102,1,1,1,-,p,M
Tanishka,Ghosh,tanishka.19@gmail.com,100,0,2,3,-,p,F
Rakul,Singh,rakul.55@gmail.com,144,0,2,3,Mechanical,p,F
Bhagyashree,Gawade,bhagyashree.86@gmail.com,68,1,2,1,-,p,F
Shriya,Naidu,shriya.28@gmail.com,120,3,2,1,Electronics,p,F
Sanjana,Kale,sanjana.93@gmail.com,135,0,1,2,Mechanical,p,F
Sameer,Patil,sameer.23@gmail.com,165,0,2,3,Computer,p,M
Akshat,Mane,akshat.79@gmail.com,128,0,2,2,-,p,M
Shardul,Ogale,shardul.48@gmail.com,151,0,2,2,Computer,p,M
Mukta,Rathod,mukta.86@gmail.com,158,1,3,0,IT,p,F
Navam,Kulkarni,navam.70@gmail.com,133,0,3,3,Electronics,p,M
Akanksha,Rathi,akanksha.26@gmail.com,136,1,3,1,Electronics,p,F
Isha,Joglekar,isha.61@gmail.com,178,2,1,2,Mechanical,p,F
Vibhavari,Pawar,vibhavari.56@gmail.com,179,2,1,2,Mechanical,p,F
Parnavi,Kumari,parnavi.69@gmail.com,109,0,1,3,Electronics,p,F
Kedar,Pande,kedar.72@gmail.com,127,0,0,3,Electronics,p,M
Tejas,Ansari,tejas.74@gmail.com,102,0,1,3,-,p,M
Lavanya,Gupta,lavanya.65@gmail.com,95,1,1,2,-,p,F
Ritika,Jadhav,ritika.12@gmail.com,114,0,1,2,-,p,F
Sandip,Nayak,sandip.19@gmail.com,136,1,2,3,Mechanical,p,M
Neha,Purohit,neha.54@gmail.com,159,1,1,1,IT,p,F
Arnav,Deshpande,arnav.60@gmail.com,100,0,0,0,-,p,M
Ira,Mahajan,ira.64@gmail.com,192,3,1,0,Electronics,p,F
Pranita,Roy,pranita.76@gmail.com,188,0,2,1,Computer,p,F
Pratiksha,Shinde,pratiksha.57@gmail.com,134,2,1,3,Electronics,p,F
Geetika,Prakash,geetika.89@gmail.com,124,1,1,3,Electronics,p,F
